CUIs,clinvar_trait
C0000744,abetalipoproteinaemia
C0000772,multiple congenital anomalies
C0001080,achondroplasia
C0001125,lactic acidosis
C0001193,acrocephalosyndactyly type i
C0001418,adenocarcinoma
C0001627,congenital adrenal hyperplasia
C0001815,primary myelofibrosis
C0001916,albinism
C0001973,alcohol dependence
C0002066,alkaptonuria
C0002312,alpha thalassemia
C0002395,early-onset autosomal dominant alzheimer disease
C0002418,amblyopia
C0002453,amenorrhea
C0002736,amyotrophic lateral sclerosis
C0002871,anemia
C0002874,aplastic anemia
C0002880,autoimmune hemolytic anemia
Cumapped308,syndromic congenital hemolytic and dyserythropoietic anemia
C0002881,congenital hemolytic anemia
C0002895,hb ss disease
Cumapped280,sideroblastic anemia 2
C0002902,anencephaly
C0002986,fabry disease
C0002994,angioedema
C0003076,aniridia 1
C0003081,anisometropia
C0003578,apnea
C0003706,arachnodactyly
C0003811,cardiac arrhythmia
C0003857,arteriovenous malformation
C0003886,arthrogryposis multiplex congenita
C0004045,neonatal asphyxia
C0004106,astigmatism
C0004114,astrocytoma
C0004134,dyssynergia
C0004135,ataxia-telangiectasia syndrome
C0004138,hereditary ataxia
C0004352,autism
C0004775,bartter syndrome
C0004779,gorlin syndrome
C0004903,beckwith-wiedemann syndrome
C0005129,bernard soulier syndrome
C0005283,beta thalassemia
Cumapped31,beta-thalassemia hbb/lcrb
C0005684,malignant tumor of urinary bladder
C0005744,blepharophimosis
C0005754,congenital blindness
C0005859,bloom syndrome
C0006157,breech presentation
C0006267,bronchiectasis
C0006845,chronic mucocutaneous candidiasis
C0007131,non-small cell lung carcinoma
C0007134,renal cell carcinoma
C0007193,primary dilated cardiomyopathy
C0007222,cardiovascular phenotype
C0007286,carpal tunnel syndrome 1
C0007384,cataplexy
C0007758,cerebellar ataxia
C0007787,transient ischemic attack
C0007789,atypical cerebral palsy
C0007847,cancer of cervix
C0007959,autosomal dominant charcot-marie-tooth disease type 2w
C0008029,fibrous dysplasia of jaw
C0008073,developmental disorder
C0008370,cholestasis
C0008372,intrahepatic cholestasis
C0008519,heterotopia
C0008525,choroideremia
C0008533,hereditary factor ix deficiency disease
C0008780,primary ciliary dyskinesia
C0008924,cleft upper lip
C0008925,cleft palate
C0008928,cleidocranial dysostosis
C0009024,clonus
C0009081,clubfoot
C0009207,cockayne syndrome
C0009319,colitis
C0009363,congenital ocular coloboma
C0009398,color vision defect
C0009404,colorectal cancer
C0009447,common variable agammaglobulinemia
C0009691,developmental cataract
C0009782,connective tissue disorder
C0009806,constipation
C0009952,febrile seizure (within the age range of 3 months to 6 years)
C0010036,"corneal dystrophy, lattice type 3a"
C0010090,abnormality of corpus callosum
C0010278,craniosynostosis syndrome
C0010308,congenital hypothyroidism
C0010324,crigler-najjar syndrome type 1
C0010495,cutis laxa
C0010674,cystic fibrosis
C0010691,cystinuria
C0011195,dejerine-sottas disease
C0011265,dementia
C0011436,dentinogenesis imperfecta
C0011570,depression
C0011849,diabetes mellitus
C0011854,diabetes mellitus type 1
C0011860,type 2 diabetes mellitus
C0011981,diaphragmatic eventration
C0012236,autosomal dominant opitz g/bbb syndrome
C0012691,joint dislocation
C0013132,drooling
C0013261,duane retraction syndrome
C0013264,duchenne muscular dystrophy
C0013363,abnormal autonomic nervous system physiology
C0013364,familial dysautonomia
C0013384,dyskinesia
C0013404,dyspnea
C0013575,ectodermal dysplasia
C0013581,ectopia lentis
C0013720,"ehlers-danlos syndrome, kyphoscoliotic type 1"
C0013903,ellis-van creveld syndrome
C0014084,enchondromatosis
C0014277,enflurane response - toxicity
C0014527,epidermolysis bullosa
C0014544,epilepsy
C0014547,focal epilepsy
C0014548,generalized epilepsy
C0014805,primary erythromelalgia
C0015300,proptosis
C0015306,"exostoses, multiple, type 1"
C0015522,factor xi
C0015523,hereditary factor xi deficiency disease
C0015526,factor xii deficiency disease
C0015544,failure to thrive
Cumapped225,progressive myositis ossificans
C0016049,gingival fibromatosis
C0016202,pes planus
C0016395,focal dermal hypoplasia
C0016655,recurrent fractures
C0016663,pathologic fracture
C0016667,fragile x syndrome
C0016751,hereditary fructosuria
C0016788,fucosidosis
C0016842,pectus excavatum
C0017205,gaucher disease
C0017495,gerstmann-straussler-scheinker syndrome
C0017551,gilbert syndrome
C0017601,glaucoma
C0017668,focal segmental glomerulosclerosis
C0017919,glycogen storage disease
C0017920,glycogen storage disease type 1 due to slc37a4 mutation
C0017921,"glycogen storage disease, type ii"
C0017922,glycogen storage disease type iii
C0017923,"glycogen storage disease, type iv"
C0017924,"glycogen storage disease, type v"
C0017925,"glycogen storage disease, type vi"
C0017926,"glycogen storage disease, type vii"
Cumapped72,familial renal glucosuria
C0018054,"46,xy disorder of sex development"
C0018203,chronic granulomatous disease
C0018523,pigmentary pallidal degeneration
C0018549,halothane response - toxicity
C0018552,hamartoma
C0018553,cowden syndrome
C0018777,conductive hearing impairment
C0018780,high-frequency hearing impairment
C0018784,sensorineural hearing loss disorder
C0018798,"heart, malformation of"
C0018802,congestive heart failure
C0018817,atrial septal defect
C0018818,ventricular septal defect
C0018916,hemangioma
C0018965,hematuria
C0018989,hemiparesis
C0018991,hemiplegia
C0019025,hereditary persistence of fetal hemoglobin
Cumapped278,sickle cell-hemoglobin c disease
C0019045,hemoglobinopathy
C0019202,wilson disease
C0019214,hepatosplenomegaly
C0019243,c1 inhibitor deficiency
C0019294,inguinal hernia
C0019562,von hippel-lindau syndrome
C0019569,aganglionic megacolon
C0019880,homocystinuria
C0020071,"neuropathy, hereditary sensory and autonomic, type 1a"
C0020074,hereditary insensitivity to pain with anhidrosis
C0020075,congenital sensory neuropathy with selective loss of small myelinated fibers
C0020224,polyhydramnios
C0020295,hydronephrosis
C0020302,congenital glaucoma
C0020305,hydrops fetalis
C0020437,hypercalcemia
C0020443,hypercholesterolemia
C0020445,familial hypercholesterolemia
C0020459,hyperinsulinemia
C0020474,"hyperlipidemia, familial combined, lpl related"
C0020476,"hyperlipoproteinemia, type 1d"
C0020479,familial type 3 hyperlipoproteinemia
C0020480,"hypertriglyceridemia, familial"
C0020490,hypermetropia
C0020497,infantile cortical hyperostosis
C0020501,primary hyperoxaluria
C0020534,hypertelorism
C0020538,hypertensive disorder
C0020545,renovascular hypertension
C0020599,hypocalciuria
C0020608,partial congenital absence of teeth
C0020615,hypoglycemia
C0020619,gonadotropin deficiency
C0020630,hypophosphatasia
C0020635,hypopituitarism
C0020725,mucolipidosis type ii
C0020758,autosomal recessive congenital ichthyosis 4b
Cumapped102,inborn error of immunity
C0021051,immunodeficiency 14
C0021843,intestinal obstruction
C0022180,isoflurane response - toxicity
C0022350,dubin-johnson syndrome
C0022521,kartagener syndrome
C0022595,keratosis follicularis
C0022603,seborrheic keratosis
C0022658,kidney disorder
C0022665,renal neoplasm
C0022680,polycystic kidney disease
C0022716,menkes kinky-hair syndrome
C0022739,angioosteohypertrophic syndrome
C0023015,language disorder
C0023195,lcat deficiency
C0023222,lower limb pain
C0023234,legg-calve-perthes disease
C0023264,leigh syndrome
C0023316,lens subluxation
C0023374,lesch-nyhan syndrome
C0023449,acute lymphoid leukemia
C0023462,acute megakaryoblastic leukemia in down syndrome
C0023467,acute myeloid leukemia
C0023473,"chronic myelogenous leukemia, bcr-abl1 positive"
C0023520,leukodystrophy
C0023521,galactosylceramide beta-galactosidase deficiency
C0023522,metachromatic leukodystrophy
C0023530,neutropenia
C0023786,mucopolysaccharidosis type 1
C0023787,lipodystrophy
C0023795,lipid proteinosis
C0023817,"hyperlipoproteinemia, type i"
C0023885,liver abscess
C0023890,cirrhosis of liver
C0023931,osteogenesis imperfecta type i
C0023976,long qt syndrome
C0024117,chronic obstructive pulmonary disease
C0024145,chilblain lupus 1
Cumapped121,"lymphoma, non-hodgkin, familial"
C0024312,lymphopenia
C0024433,wide mouth
C0024437,macular degeneration
C0024439,macular corneal dystrophy
C0024454,maffucci syndrome
C0024591,malignant hyperthermia of anesthesia
C0024748,deficiency of alpha-mannosidase
C0024776,maple syrup urine disease
C0024796,marfan syndrome
C0025221,acroerythrokeratoderma
C0025237,melnick-needles syndrome
C0025267,"multiple endocrine neoplasia, type 1"
C0025268,"multiple endocrine neoplasia, type 2a"
C0025269,"multiple endocrine neoplasia, type 2b"
C0025281,meniere disease
C0025322,premature ovarian insufficiency
C0025521,inborn errors of metabolism
C0025988,microglossia
C0025990,micrognathia
C0025995,micromelia
C0026010,microphthalmia
C0026034,narrow mouth
C0026106,"intellectual disability, mild"
C0026266,mitral regurgitation
C0026267,mitral valve prolapse
C0026351,"intellectual disability, moderate"
C0026697,mucolipidosis
C0026705,"mucopolysaccharidosis, mps-ii"
C0026706,sanfilippo syndrome
C0026708,"mucopolysaccharidosis, mps-i-s"
C0026709,mucopolysaccharidosis type 6
C0026760,multiple epiphyseal dysplasia
C0026826,hypertonia
C0026847,spinal muscular atrophy
C0026848,myopathy
C0026850,muscular dystrophy
C0027092,myopia
C0027125,myotonia
C0027127,batten-turner congenital myopathy
C0027341,nail-patella syndrome
C0027662,multiple endocrine neoplasia
C0027672,hereditary cancer-predisposing syndrome
C0027708,wilms tumor 1
C0027830,neurofibroma
C0027831,"neurofibromatosis, type 1"
C0027832,"neurofibromatosis, type 2"
C0027868,neuromuscular disease
C0027877,neuronal ceroid lipofuscinosis
C0027888,hereditary motor and sensory neuropathy
C0027889,hereditary sensory and autonomic neuropathy
C0028064,sphingomyelin/cholesterol lipidosis
C0028326,noonan syndrome
C0028738,nystagmus
C0028860,lowe syndrome
C0029124,optic atrophy
C0029128,optic disc drusen
C0029131,abnormality of the optic nerve
C0029422,hypertrichotic osteochondrodysplasia cantu type
C0029434,osteogenesis imperfecta type 13
C0029453,osteopenia
C0029458,postmenopausal osteoporosis
C0029464,increased bone mineral density
C0030196,limb pain
C0030283,pancreatic cysts
C0030312,pancytopenia
C0030421,paraganglioma
C0030567,parkinson disease
Cumapped195,"parkinson disease, x-linked dominant"
C0031069,familial mediterranean fever
Cumapped199,"periodontitis, aggressive 1"
C0031154,peritonitis
C0031269,peutz-jeghers syndrome
C0031485,phenylketonuria
C0031900,isolated pierre-robin syndrome
C0032027,pityriasis rubra pilaris
C0032326,pneumothorax
Cumapped253,rothmund-thomson syndrome
C0032463,acquired polycythemia vera
C0032580,familial adenomatous polyposis 1
C0032914,preeclampsia
C0033300,hutchinson-gilford syndrome
C0033377,ptosis
C0033770,prune belly syndrome
C0033785,pseudoarthrosis
C0033788,pseudo-hurler polydystrophy
C0033806,pseudohypoparathyroidism
C0033835,pseudopseudohypoparathyroidism
C0033893,tension-type headache
C0034050,pulmonary alveolar proteinosis
C0034088,respiratory insufficiency
C0034089,pulmonic stenosis
C0034155,thrombotic thrombocytopenic purpura
C0034341,pyruvate carboxylase deficiency
C0034935,babinski sign
C0034960,phytanic acid storage disease
C0035078,renal insufficiency
C0035220,neonatal respiratory distress
